Issue Type|Summary|Key|Assignee|Reporter|Priority|Status|Resolution|Created|Updated|Due date|parent|Resolved|Status Category Changed|Linked Issues|Parent Link
Subtask|Install tools on developer workstation|DBAAS-6354|Julio Alcala|Derek Daigrepont|Medium|Done|Done|2021-08-05 13:56:59.743|2021-09-02 13:29:42.087||DBAAS-6349|2021-09-02 13:29:42.069|2021-09-02 13:29:42.087||
Subtask|Request cloud platform server admin account|DBAAS-6353|Julio Alcala|Derek Daigrepont|Medium|Done|Done|2021-08-05 13:56:59.251|2021-09-02 13:29:34.322||DBAAS-6349|2021-09-02 13:29:34.304|2021-09-02 13:29:34.322||
Subtask|Review and understand important DBaaS documentation (policies, procedures, user guides, etc.)|DBAAS-6352|Julio Alcala|Derek Daigrepont|Medium|Done|Done|2021-08-05 13:56:58.747|2021-08-18 17:48:49.373||DBAAS-6349|2021-08-18 17:48:49.367|2021-08-18 17:48:49.373||
Feature|DBaaS Database Instance Account Attestation Web Application|DBAAS-5814|Julio Alcala|Pooja Chanana|Medium|in Build||2021-06-22 18:12:05.877|2021-10-20 21:03:59.099|2021-12-17|||2021-07-12 20:28:40.980|DBAAS-5810|
Build Story|Populate dummy LOAD, ERROR, ARCHIVE and DATABASE tables for the Account Collection POC|DBAAS-7508|Miguel Martinez|Miguel Martinez|Medium|Blocked||2021-11-11 19:36:55.677|2021-11-12 17:03:19.687||DBAAS-4462||2021-11-11 20:03:00.749|DBAAS-7434;DBAAS-7438|
Build Story|Populate a dummy Account Collection table for the Account Collection POC|DBAAS-7507|Miguel Martinez|Miguel Martinez|Medium|Blocked||2021-11-11 19:19:42.530|2021-11-12 17:03:11.825||DBAAS-4462||2021-11-11 20:01:23.369|DBAAS-7434;DBAAS-7438|
Build Story|SQL. Update the Catalogs table with the provided rationale list|DBAAS-7487|Miguel Martinez|Miguel Martinez|Medium|Done|Done|2021-11-08 23:26:49.350|2021-11-10 00:10:21.840||DBAAS-5814|2021-11-10 00:10:21.832|2021-11-10 00:10:21.840||
Build Story|SQL. Update the Batch Update SP for dynamic and fixed periods|DBAAS-7482|Miguel Martinez|Miguel Martinez|Medium|Done|Done|2021-11-08 23:19:53.074|2021-11-11 23:51:31.009||DBAAS-5814|2021-11-11 23:51:31.004|2021-11-11 23:51:31.009||
Enabler Story|Familiarize with Power Shell Account Collection scripts|DBAAS-7434|Miguel Martinez|Julio Alcala|Medium|In Design||2021-11-05 16:01:09.287|2021-11-12 16:45:22.282|2021-11-19|DBAAS-4462||2021-11-10 02:48:57.735|DBAAS-7507;DBAAS-7508|
Build Story|PAPPS. Change the flagging functionality for unattested accounts only|DBAAS-7426|Miguel Martinez|Miguel Martinez|Medium|Done|Done|2021-11-04 19:52:49.948|2021-11-05 16:39:28.237|2021-11-05|DBAAS-5814|2021-11-05 16:39:28.229|2021-11-05 16:39:28.237||
Framework|Request a new Power Apps production environment for the Enabling Solution Squad|DBAAS-7420|Miguel Martinez|Miguel Martinez|Medium|Done|Done|2021-11-03 22:04:36.256|2021-11-10 00:10:25.792||DBAAS-5814|2021-11-10 00:10:25.787|2021-11-10 00:10:25.792||
Enabler Story|Update disabled accounts status during data integration|DBAAS-7419|Miguel Martinez|Miguel Martinez|Medium|Done|Done|2021-11-03 22:03:41.920|2021-11-04 23:42:23.331||DBAAS-5814|2021-11-04 19:47:47.322|2021-11-04 19:47:47.330||
Build Story|Change the flagging status when an account is attested|DBAAS-7418|Miguel Martinez|Miguel Martinez|Medium|Done|Done|2021-11-03 22:00:37.965|2021-11-04 23:42:19.394||DBAAS-5814|2021-11-04 23:40:32.534|2021-11-04 23:40:32.542||
Enabler Story|Set up the Attestation app in Power Apps with the new DB SYNATT schema|DBAAS-7376|Miguel Martinez|Miguel Martinez|Medium|Done|Done|2021-10-28 23:03:48.094|2021-11-03 19:56:06.467|2021-11-05|DBAAS-5814|2021-11-02 00:40:01.395|2021-11-02 00:40:01.404|DBAAS-7378;DBAAS-7379|
Enabler Story|PAPPS. Modify the flow run so that it sends the required columns|DBAAS-7205|Miguel Martinez|Ricardo Martinez|Medium|Done|Done|2021-10-19 16:41:00.526|2021-10-25 17:23:24.271||DBAAS-5814|2021-10-25 17:22:40.638|2021-10-25 17:22:40.641|DBAAS-7207;DBAAS-7204|
Enhancement|Remove Portfolio Owner related columns from Power BI reports|DBAAS-7169|Miguel Martinez|Miguel Martinez|Medium|Done|Done|2021-10-14 15:40:01.651|2021-11-03 19:56:08.539|2021-10-29||2021-10-27 18:20:55.905|2021-10-27 18:20:55.912||
Enabler Story|PBI. Test direct query connection with joined tables.|DBAAS-7126|Miguel Martinez|Miguel Martinez|Medium|Done|Done|2021-10-12 19:06:08.350|2021-10-12 19:13:46.977||DBAAS-5814|2021-10-12 19:12:20.448|2021-10-12 19:12:20.457||
Enabler Story|Set up Attestation App with new database structure|DBAAS-7125|Miguel Martinez|Miguel Martinez|Medium|Done|Done|2021-10-12 18:53:43.887|2021-10-19 16:20:38.021||DBAAS-5814|2021-10-19 16:20:38.016|2021-10-19 16:20:38.021||
Enabler Story|PAPPS. Add error control for the bulk attestation flow|DBAAS-6964|Miguel Martinez|Ricardo Martinez|Medium|Done|Done|2021-09-20 18:58:49.799|2021-10-22 15:38:24.256||DBAAS-5814|2021-10-22 15:38:24.252|2021-10-22 15:38:24.256||
Enabler Story|PAPPS. Send Logs to logs table.|DBAAS-6962|Miguel Martinez|Ricardo Martinez|Medium|Done|Done|2021-09-20 18:57:50.008|2021-09-23 23:06:57.137||DBAAS-5814|2021-09-23 17:39:47.939|2021-09-23 17:39:47.945||
Enabler Story|PAPPS. Change Review Screen to work only as comments instead of Chat|DBAAS-6950|Miguel Martinez|Ricardo Martinez|Medium|Done|Done|2021-09-20 17:31:28.784|2021-09-22 15:44:50.932||DBAAS-5814|2021-09-22 15:44:50.927|2021-09-22 15:44:50.932||
Subtask|"SQL. ""SP/VIEW"". To display data to ""PBI/PAPPS"" by ""[IT Service Owner]"" OR ""[Portfolio Owner]"" AND Dt_Diff_Att < 20 … Not for DBaaS Team Member"|DBAAS-6537|Miguel Martinez|Fabian Ponce|Medium|Done|Done|2021-08-30 16:09:22.274|2021-09-20 14:38:27.053||DBAAS-6514|2021-09-20 14:38:27.048|2021-09-20 14:38:27.054|DBAAS-6538;DBAAS-6513|
Subtask|PAPPS. Use RLS to display the data for the logged user.|DBAAS-6536|Miguel Martinez|Fabian Ponce|Medium|Done|Done|2021-08-30 16:01:57.157|2021-09-20 14:23:55.418||DBAAS-6513|2021-09-20 14:23:55.413|2021-09-20 14:23:55.419|DBAAS-6535|
Subtask|Enroll individual device for InTune according to the BYOD terms|DBAAS-6465|Miguel Martinez|Derek Daigrepont|Medium|Done|Done|2021-08-14 16:03:03.104|2021-10-14 16:16:44.200||DBAAS-6440|2021-10-14 16:16:44.196|2021-10-14 16:16:44.200||
Subtask|Install Slack Client|DBAAS-6460|Miguel Martinez|Derek Daigrepont|Medium|Done|Done|2021-08-14 15:37:54.809|2021-09-02 17:26:18.100||DBAAS-6440|2021-09-02 17:26:18.096|2021-09-02 17:26:18.101||
Subtask|Update GAL and Profile Information|DBAAS-6459|Miguel Martinez|Derek Daigrepont|Medium|Done|Done|2021-08-14 15:37:54.209|2021-08-20 21:31:28.099||DBAAS-6440|2021-08-20 21:31:28.095|2021-08-20 21:31:28.100||
Subtask|Install the Zscaler tool|DBAAS-6446|Miguel Martinez|Derek Daigrepont|Medium|Done|Done|2021-08-14 15:37:46.954|2021-08-16 14:23:38.372||DBAAS-6440|2021-08-16 14:23:38.366|2021-08-16 14:23:38.372||
Subtask|Install tools on developer workstation|DBAAS-6445|Miguel Martinez|Derek Daigrepont|Medium|Done|Done|2021-08-14 15:37:46.366|2021-09-03 03:09:12.605||DBAAS-6440|2021-09-03 03:08:54.554|2021-09-03 03:08:54.559||
Subtask|Request cloud platform server admin account|DBAAS-6444|Miguel Martinez|Derek Daigrepont|Medium|Done|Done|2021-08-14 15:37:45.520|2021-10-20 21:00:41.098||DBAAS-6440|2021-10-20 21:00:41.092|2021-10-20 21:00:41.098||
Subtask|Review and understand important DBaaS documentation (policies, procedures, user guides, etc.)|DBAAS-6443|Miguel Martinez|Derek Daigrepont|Medium|Done|Done|2021-08-14 15:37:44.857|2021-10-14 17:09:20.261||DBAAS-6440|2021-10-14 17:09:20.256|2021-10-14 17:09:20.261||
Build Story|Develop the Stored Procedure to produce the Dataset for the Recoverability Power BI report|DBAAS-6222|Miguel Martinez|Pooja Chanana|Medium|Blocked||2021-07-20 15:40:26.968|2021-11-12 16:48:28.536||DBAAS-6943||2021-11-03 22:58:42.773|DBAAS-6223|
Task|Resolve ticket TASK000005586197|DBAAS-7493|Ricardo Martinez|Ricardo Martinez|Medium|Done|Done|2021-11-09 22:19:01.271|2021-11-11 22:35:08.496|||2021-11-11 18:52:25.700|2021-11-11 18:52:25.707||
Build Story|PAPPS. Update the Attestation main screen to display rationale list|DBAAS-7486|Ricardo Martinez|Miguel Martinez|Medium|Done|Done|2021-11-08 23:26:01.481|2021-11-09 22:19:33.680||DBAAS-5814|2021-11-09 22:19:33.674|2021-11-09 22:19:33.680||
Build Story|PBI. Update the Attestation PBI reports to handle dynamic and fixed periods|DBAAS-7484|Ricardo Martinez|Miguel Martinez|Medium|Done|Done|2021-11-08 23:22:05.573|2021-11-12 19:44:20.391|2021-11-19|DBAAS-5814|2021-11-12 19:11:27.778|2021-11-12 19:11:27.786||
Enabler Story|PAPPS. Create connections to Prod Environment|DBAAS-7439|Ricardo Martinez|Ricardo Martinez|Medium|In Design||2021-11-05 17:32:17.906|2021-11-12 20:00:41.371|2021-11-26|DBAAS-5814||2021-11-08 16:32:40.915||
Enabler Story|Determine the 90 day period logic|DBAAS-7428|Ricardo Martinez|Ricardo Martinez|Medium|Done|Done|2021-11-04 21:58:05.085|2021-11-09 20:43:01.298||DBAAS-5814|2021-11-09 20:43:01.292|2021-11-09 20:43:01.298||
Enabler Story|PBI. Filter only the active instances.|DBAAS-7427|Ricardo Martinez|Ricardo Martinez|Medium|Done|Done|2021-11-04 20:09:40.440|2021-11-04 20:12:12.259||DBAAS-5814|2021-11-04 20:12:12.252|2021-11-04 20:12:12.259||
Enabler Story|Set up the Attestation app and reports in Power BI with the new DB SYNATT schema|DBAAS-7377|Ricardo Martinez|Miguel Martinez|Medium|Done|Done|2021-10-28 23:04:16.023|2021-11-02 16:20:27.203||DBAAS-5814|2021-11-02 16:20:09.466|2021-11-02 16:20:09.472|DBAAS-7379|
Enabler Story|"PAPPS. Create ""Flag"" capability to each row"|DBAAS-7320|Ricardo Martinez|Ricardo Martinez|Medium|Done|Done|2021-10-22 17:30:04.978|2021-10-26 16:24:37.241||DBAAS-5814|2021-10-26 16:24:37.235|2021-10-26 16:24:37.241||
Enabler Story|Confirm how to apply the Rationale to each DBI|DBAAS-7316|Ricardo Martinez|Ricardo Martinez|Medium|Done|Done|2021-10-22 15:57:58.019|2021-10-26 16:24:53.182||DBAAS-5814|2021-10-22 17:26:29.892|2021-10-22 17:26:29.897|DBAAS-7319|
Build Story|Implementation of CI/CD Pipeline for Attestation App |DBAAS-7315|Ricardo Martinez|Julio Alcala|Medium|in Build||2021-10-22 15:49:08.024|2021-11-12 17:22:07.279|2021-12-03|DBAAS-5814||2021-11-08 17:32:31.772|DBAAS-7440|
Enabler Story|PAPPS. Create connection to CATALOGS table|DBAAS-7305|Ricardo Martinez|Ricardo Martinez|Medium|Done|Done|2021-10-21 16:24:34.332|2021-10-22 15:34:26.048||DBAAS-5814|2021-10-22 15:34:26.031|2021-10-22 15:34:26.048||
Enabler Story|"SQL. Create CATALOGS table to handle ""Rationale"" and future catalogs"|DBAAS-7304|Ricardo Martinez|Ricardo Martinez|Medium|Done|Done|2021-10-21 16:19:09.059|2021-10-21 16:22:17.262||DBAAS-5814|2021-10-21 16:19:17.027|2021-10-21 16:19:17.031||
Enabler Story|PBI & PAPPS. Make proposed modifications in meeting with stakeholders|DBAAS-7285|Ricardo Martinez|Ricardo Martinez|Medium|Done|Done|2021-10-20 22:39:34.726|2021-11-08 22:32:09.751|2021-11-12|DBAAS-5814|2021-11-08 22:32:05.903|2021-11-08 22:32:05.911||
Enabler Story|Modifications for stakeholders demo|DBAAS-7206|Ricardo Martinez|Ricardo Martinez|Medium|Done|Done|2021-10-19 16:41:53.101|2021-10-19 16:45:50.512||DBAAS-5814|2021-10-19 16:45:50.507|2021-10-19 16:45:50.512||
Enabler Story|Create the Power BI APP that will be used for DBaaS Workspace|DBAAS-7200|Ricardo Martinez|Julio Alcala|Medium|Done|Done|2021-10-19 15:11:54.205|2021-11-16 22:37:23.604||DBAAS-6735|2021-11-16 22:37:23.596|2021-11-16 22:37:23.604|DBAAS-7198|
Enabler Story|PAPPS. Make the App usable for users without connection permissions|DBAAS-7131|Ricardo Martinez|Ricardo Martinez|Medium|Ready for Design||2021-10-12 21:28:57.479|2021-11-12 17:17:35.203|2021-11-19|DBAAS-5814||2021-10-12 21:29:05.052|DBAAS-6947|
Enabler Story|Test the Attestation App with multiple concurrent users|DBAAS-7106|Ricardo Martinez|Miguel Martinez|Medium|Done|Done|2021-10-06 23:22:53.390|2021-10-06 23:31:33.173||DBAAS-5814|2021-10-06 23:29:15.388|2021-10-06 23:29:15.393||
Enabler Story|PBI. Test direct query connection with custom SQL query|DBAAS-7045|Ricardo Martinez|Miguel Martinez|Medium|Done|Done|2021-09-27 22:43:32.816|2021-10-14 15:55:32.794||DBAAS-5814|2021-10-12 21:20:59.663|2021-10-12 21:20:59.668||
Build Story|Modify the DBaaS Database Instance PowerBI report to include the Last_Login_Date for Database Instances|DBAAS-7008|Ricardo Martinez|Pooja Chanana|Medium|Done|Done|2021-09-22 19:33:31.608|2021-09-29 18:02:36.948||DBAAS-7003|2021-09-24 18:48:24.426|2021-09-24 18:48:24.430|DBAAS-7007|
Enabler Story|PAPPS. Create FAQs screen|DBAAS-6961|Ricardo Martinez|Ricardo Martinez|Medium|Ready for Analysis||2021-09-20 18:53:45.132|2021-11-12 17:21:14.842|2021-11-26|DBAAS-5814||2021-11-09 22:19:18.351||
Enabler Story|PBI. Change columns sent to the PAPPS and correct look and feel|DBAAS-6960|Ricardo Martinez|Ricardo Martinez|Medium|Done|Done|2021-09-20 18:35:30.834|2021-09-22 20:57:14.742||DBAAS-5814|2021-09-22 20:57:14.737|2021-09-22 20:57:14.742||
Enabler Story|PBI. Use RLS to display the data for the logged user.|DBAAS-6947|Ricardo Martinez|Miguel Martinez|Medium|Blocked||2021-09-20 14:11:36.152|2021-11-05 17:40:42.424||DBAAS-5814||2021-09-20 14:11:51.691|DBAAS-7131|
Feature|PowerBI Report for Recoverability Status for all DBaaS Hosted Database Instances|DBAAS-6943|Ricardo Martinez|Pooja Chanana|Medium|Ready for Design||2021-09-20 13:18:45.560|2021-11-05 16:43:50.779|2021-12-17|||2021-09-20 13:25:07.726|DBAAS-4462|
Subtask|PAPPS. Use RLS to display the data for the logged user. History for edition. Where Dt_Diff_Att < 20 Days (TBD)|DBAAS-6538|Ricardo Martinez|Fabian Ponce|Medium|Done|Done|2021-08-30 16:09:54.001|2021-09-20 14:38:31.586||DBAAS-6514|2021-09-20 14:38:31.578|2021-09-20 14:38:31.587|DBAAS-6537|
Enabler Story|PAPPS. Make changes to Default Screen|DBAAS-6522|Ricardo Martinez|Fabian Ponce|Medium|Done|Done|2021-08-26 17:50:02.068|2021-09-21 23:48:18.669||DBAAS-5814|2021-09-21 23:46:38.200|2021-09-21 23:46:38.205||
Enabler Story|Attest - List all database instances with editable attestation data. PAPPS|DBAAS-6514|Ricardo Martinez|Fabian Ponce|Medium|Done|Done|2021-08-26 17:47:53.278|2021-09-29 18:02:38.603||DBAAS-5814|2021-09-20 14:38:36.911|2021-09-20 14:38:36.917|DBAAS-6515;DBAAS-6513|
Subtask|Validate and correct DBaaS Support Cost Report|DBAAS-6477|Ricardo Martinez|Ricardo Martinez|Medium|Done|Done|2021-08-17 16:02:27.957|2021-08-20 17:53:05.361||DBAAS-6470|2021-08-20 17:53:05.357|2021-08-20 17:53:05.362||
Subtask|Validate and correct Database Assets Reports|DBAAS-6476|Ricardo Martinez|Ricardo Martinez|Medium|Done|Done|2021-08-17 16:02:18.133|2021-08-20 17:52:56.138||DBAAS-6470|2021-08-20 17:52:56.134|2021-08-20 17:52:56.139||
Subtask| Check an correct DBaaS Scheduled Run Time Dashboard|DBAAS-6472|Ricardo Martinez|Ricardo Martinez|Medium|Done|Done|2021-08-17 14:47:08.390|2021-08-19 18:26:19.700||DBAAS-6469|2021-08-17 16:00:36.199|2021-08-17 16:00:36.203||
Enhancement|Update PowerBI Reports to correct the number of Instances shown on the Reports|DBAAS-6470|Ricardo Martinez|Pooja Chanana|High|Done|Done|2021-08-17 14:00:14.139|2021-10-07 02:41:09.404|||2021-08-26 15:04:45.207|2021-08-26 15:04:45.213||
Enhancement|Update Power BI Reports to eliminate any hard coded values|DBAAS-6469|Ricardo Martinez|Pooja Chanana|Medium|Done|Done|2021-08-17 13:08:42.502|2021-11-05 17:38:17.220|||2021-11-05 17:34:28.062|2021-11-05 17:34:28.071||
Enhancement|Update Managed DBaaS Support Cost Forecast Power BI report|DBAAS-6402|Ricardo Martinez|Pooja Chanana|Medium|Done|Done|2021-08-11 22:18:54.889|2021-09-27 02:35:08.041|||2021-08-13 11:45:57.076|2021-08-13 11:45:57.080||
Build Story|Develop the Power BI Database Instance Recoverability report|DBAAS-6224|Ricardo Martinez|Pooja Chanana|Medium|Blocked||2021-07-20 15:41:11.921|2021-11-12 17:21:28.506|2021-11-26|DBAAS-6943||2021-11-03 22:58:38.505|DBAAS-7333;DBAAS-6223|
Subtask|Install Slack Client|DBAAS-5980|Ricardo Martinez|Derek Daigrepont|Medium|Done|Done|2021-07-06 16:10:47.930|2021-07-14 22:22:08.865||DBAAS-5960|2021-07-14 22:22:08.862|2021-07-14 22:22:08.865||
Subtask|Update GAL and Profile Information|DBAAS-5979|Ricardo Martinez|Derek Daigrepont|Medium|Done|Done|2021-07-06 16:10:47.515|2021-07-14 22:23:08.956||DBAAS-5960|2021-07-14 22:23:08.953|2021-07-14 22:23:08.956||
Subtask|Install the Zscaler tool|DBAAS-5966|Ricardo Martinez|Derek Daigrepont|Medium|Done|Done|2021-07-06 16:10:42.706|2021-07-14 22:21:26.842||DBAAS-5960|2021-07-14 22:21:26.838|2021-07-14 22:21:26.842||
Subtask|Install tools on developer workstation|DBAAS-5965|Ricardo Martinez|Derek Daigrepont|Medium|Done|Done|2021-07-06 16:10:42.350|2021-07-14 22:24:04.146||DBAAS-5960|2021-07-14 22:24:04.143|2021-07-14 22:24:04.147||
Subtask|Request cloud platform server admin account|DBAAS-5964|Ricardo Martinez|Derek Daigrepont|Medium|Done|Done|2021-07-06 16:10:41.957|2021-07-16 03:42:59.224||DBAAS-5960|2021-07-16 03:42:59.221|2021-07-16 03:42:59.225||
Subtask|Review and understand important DBaaS documentation (policies, procedures, user guides, etc.)|DBAAS-5963|Ricardo Martinez|Derek Daigrepont|Medium|Done|Done|2021-07-06 16:10:41.532|2021-07-16 03:41:59.404||DBAAS-5960|2021-07-16 03:41:59.401|2021-07-16 03:41:59.405||
